Term id,Term name,Department id,Department name,Course id,Course code,Course name,Course url,Number of students,Observed deleted on,Last checked on,Ally enabled,Total files,Total WYSIWYG,Overall score,Files score,WYSIWYG score,pdf,image,html-page,presentation,document,other,application/x-discussion-topic,application/x-file,application/x-html-fragment,application/x-link-web,application/x-module,application/x-quiz,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,LibraryReference,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
533327,2021 Spring,7122; 6606,ACCOUNTING; Michigan State University,redacted,SS21-ITM-883-001-95K2OB-EL-05-003,SS21-ITM-883-001 - Bus Analytics Problem Solving,redacted,0,,11/28/2024 4:02,TRUE,108,0,0.555555556,0.555555556,,2,0,0,0,29,24,0,0,0,0,0,0,6,18,0,16,1,0,0,3,15,0,2,1,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,31,0,0,0,0,20,0,2
100048,2020 Spring,6606; 7122,Michigan State University; ACCOUNTING,redacted,SS20MERGED-97MQT3-97MQT4-97MQT5,ACC321 Spring 2020,redacted,0,,11/28/2024 5:26,TRUE,47,8,0.555555556,0.555555556,1,4,0,0,18,22,3,0,7,0,0,1,0,14,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,11,1,4
